Price,Sea,Area,Elevation,Sewer,Days,Flood,Distance
12,1,1472,20,4811,-36,1,8
5,0,1301,1,4070,-79,0,1
12,1,39,17,1200,-40,1,4
36,0,7,18,3240,-46,0,12
2,0,357,7,5619,-88,1,1
9,1,686,12,5056,-39,1,12
8,1,503,14,2948,-60,1,4
8,1,1443,19,2586,-53,1,1
25,0,602,9,1986,-7,0,0
4,0,757,14,3583,-94,1,4.5
4,1,329,4,5049,-75,1,7
18,1,460,15,0,-67,0,4
9,0,657,12,1984,-72,0,5
7,0,991,20,440,-87,1,2
6,1,1070,1,5105,-44,1,8.5
5,0,42,10,4998,-46,1,0
9,0,1227,2,1085,-79,0,9
20,0,603,20,5775,-12,1,12
12.4,1,232,16,1911,-49,0,1
17,0,322,3,2814,-27,0,12
8,0,157,20,3459,-92,1,11
18.1,0,7,10,3525,-37,0,8
16.8,1,770,15,327,-44,1,3
5.9,0,1402,7,631,-68,1,8.5
4,1,1432,5,4476,-58,1,6
7,1,450,7,3994,-34,1,5
18.2,0,268,1,314,-8,1,11
8,1,1556,20,2442,-91,1,11
13,1,1465,11,520,-96,0,10
15.2,0,1106,7,2804,-47,0,8
21.9,1,1031,14,652,-42,0,1
